customer_id,primary_segment,customer_persona,retention_risk,cross_sell_opportunity,genai_targeting_priority,product_id,product_name,recommendation_score,recommendation_confidence,recommendation_reason,campaign_objective,marketing_angle,campaign_priority,recommendation_strength,campaign_context_ready
C000017,Dormant / Declining,Dormant Reactivation Target,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.1841854160546713,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.1841854160546713,True
C000018,Premium High-Value,Premium Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.5137709674047866,Low,customer profile indicates potential protection needs; strong segment fit,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 3,0.5137709674047866,True
C000019,At Risk,At-Risk Declining Customer,Critical Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3180763505598206,Low,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3180763505598206,True
C000020,Core Active,Core Digital Customer,Moderate Risk,Low Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.4658547231730105,Low,customer profile supports premium banking services; strong digital affinity; positive response to previous recommendations,Engagement,Highlight premium services and exclusive benefits,Priority 2,0.4658547231730105,True
C000021,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.4054619758569014,Low,financial capacity and transaction activity support borrowing needs,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 3,0.4054619758569014,True
C000022,At Risk,At-Risk Engagement Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2391784078296293,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2391784078296293,True
C000023,Premium High-Value,Premium Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P007,Term Insurance,0.5980348465260032,Medium,customer profile indicates potential protection needs; strong segment fit,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 2,0.5980348465260032,True
C000024,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.854285940561937,High,financial capacity and transaction activity support borrowing needs; strong income profile; high transaction activity,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.854285940561937,True
C000025,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4598288760557259,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.4598288760557259,True
C000026,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.8043864282811584,High,customer profile supports premium banking services; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.8043864282811584,True
C000027,At Risk,At-Risk Declining Customer,Critical Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3275849566587577,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3275849566587577,True
C000028,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.7666312201134888,High,customer profile supports premium banking services; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.7666312201134888,True
C000029,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.4031373220274633,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 3,0.4031373220274633,True
C000030,At Risk,At-Risk Declining Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2099605158753227,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2099605158753227,True
C000031,At Risk,At-Risk Engagement Customer,Critical Risk,Moderate Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2742471372049131,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2742471372049131,True
C000032,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3748945043261238,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3748945043261238,True
C000033,At Risk,At-Risk Engagement Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2322877267548394,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2322877267548394,True
C000034,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.3641809251989278,Low,financial capacity and transaction activity support borrowing needs,Retention,Strengthen the customer relationship while highlight flexible financing and convenience,Priority 3,0.3641809251989278,True
C000035,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.3573808392530136,Low,customer profile supports premium banking services,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 3,0.3573808392530136,True
C000036,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.3893780903669576,Low,customer profile indicates potential protection needs,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 3,0.3893780903669576,True
C000037,Core Active,Core Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.5210247336110845,Low,financial capacity and transaction activity support borrowing needs; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.5210247336110845,True
C000038,Core Active,Core Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.5167905392376315,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.5167905392376315,True
C000039,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.4205846316858137,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.4205846316858137,True
C000040,Core Active,Core Digital Customer,High Risk,Low Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.3852216225717786,Low,financial capacity and transaction activity support borrowing needs; strong digital affinity,Retention,Strengthen the customer relationship while highlight flexible financing and convenience,Priority 3,0.3852216225717786,True
C000041,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3909509482596552,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.3909509482596552,True
C000042,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.5897276803804345,Medium,customer profile supports premium banking services; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 3,0.5897276803804345,True
C000043,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4824079880055952,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.4824079880055952,True
C000044,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.7326813949851788,Medium,financial capacity and transaction activity support borrowing needs; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.7326813949851788,True
C000045,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.4250572312060049,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.4250572312060049,True
C000046,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P006,Mutual Fund Plan,0.5812733102047639,Medium,financial capacity indicates potential for investment products; strong segment fit,Cross-Sell,Introduce a complementary product and highlight wealth creation and investment potential,Priority 2,0.5812733102047639,True
C000047,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.4621522363923235,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.4621522363923235,True
C000048,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3862963262295856,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.3862963262295856,True
C000049,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.6948750763397827,Medium,financial capacity and transaction activity support borrowing needs; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 3,0.6948750763397827,True
C000050,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.260967528170149,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 3,0.260967528170149,True
C000051,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.4097159736422597,Low,customer profile supports premium banking services,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 3,0.4097159736422597,True
C000052,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.388306024756432,Low,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.388306024756432,True
C000053,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.519359865347343,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.519359865347343,True
C000054,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.5814974618249911,Medium,spending and transaction patterns support a rewards credit card; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.5814974618249911,True
C000055,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.6287253630683166,Medium,customer profile supports premium banking services; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.6287253630683166,True
C000056,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.4871275764508827,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.4871275764508827,True
C000057,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.401600293369888,Low,customer profile supports premium banking services; strong digital affinity,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 3,0.401600293369888,True
C000058,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.2971047753300564,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.2971047753300564,True
C000059,Core Active,Core Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.5670794620160751,Medium,spending and transaction patterns support a rewards credit card; strong digital affinity,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.5670794620160751,True
C000060,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.435157070528865,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 3,0.435157070528865,True
C000061,At Risk,At-Risk Engagement Customer,High Risk,Low Cross-Sell Opportunity,Priority 3,P008,Premium Banking,0.2941744921007586,Low,customer profile supports premium banking services; positive response to previous recommendations,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 3,0.2941744921007586,True
C000062,Premium High-Value,Premium Digital Customer,High Risk,High Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.7291921207894679,Medium,customer profile supports premium banking services; high transaction activity; strong digital affinity,Retention,Strengthen the customer relationship while highlight premium services and exclusive benefits,Priority 2,0.7291921207894679,True
C000063,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P006,Mutual Fund Plan,0.3739833321569721,Low,financial capacity indicates potential for investment products,Cross-Sell,Introduce a complementary product and highlight wealth creation and investment potential,Priority 3,0.3739833321569721,True
C000064,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.4209110987448043,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.4209110987448043,True
C000065,Core Active,Core Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4194803551009887,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.4194803551009887,True
C000066,Core Active,Core Relationship Customer,High Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3920862932011372,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3920862932011372,True
C000067,At Risk,At-Risk Declining Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.1897590986633273,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.1897590986633273,True
C000068,Premium High-Value,Premium Relationship Customer,Moderate Risk,Low Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.57067933526301,Medium,financial capacity and transaction activity support borrowing needs; strong segment fit,Upsell,Emphasize premium value and highlight flexible financing and convenience,Priority 3,0.57067933526301,True
C000069,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.658328986712224,Medium,spending and transaction patterns support a rewards credit card; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.658328986712224,True
C000070,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.6925981788026413,Medium,financial capacity and transaction activity support borrowing needs; strong digital affinity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.6925981788026413,True
C000071,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3395645058925829,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.3395645058925829,True
C000072,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.9310595410702192,High,financial capacity and transaction activity support borrowing needs; strong income profile; high transaction activity,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.9310595410702192,True
C000073,Core Active,Core Relationship Customer,High Risk,Low Cross-Sell Opportunity,Priority 4,P003,Rewards Credit Card,0.3090581459951255,Low,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 4,0.3090581459951255,True
C000074,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.7280072090469717,Medium,customer profile supports premium banking services; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.7280072090469717,True
C000075,Premium High-Value,Premium Cross-Sell Opportunity,Low Risk,High Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.7033917871864537,Medium,spending and transaction patterns support a rewards credit card; high transaction activity; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.7033917871864537,True
C000076,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P005,Home Loan,0.7938267758176272,High,financial capacity supports a potential home financing need; high transaction activity; strong digital affinity,Cross-Sell,Introduce a complementary product and highlight long-term home financing value,Priority 2,0.7938267758176272,True
C000077,At Risk,At-Risk Engagement Customer,Critical Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3182437440709953,Low,spending and transaction patterns support a rewards credit card,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3182437440709953,True
C000078,Dormant / Declining,Dormant Reactivation Target,Critical Risk,Low Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.2670322326677601,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.2670322326677601,True
C000079,Core Active,Core Cross-Sell Opportunity,Moderate Risk,High Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.512612849147811,Low,spending and transaction patterns support a rewards credit card; strong digital affinity,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.512612849147811,True
C000080,Premium High-Value,Premium Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.5968491404133281,Medium,spending and transaction patterns support a rewards credit card; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.5968491404133281,True
C000081,Core Active,Core High-Activity Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P007,Term Insurance,0.4453583575827485,Low,customer profile indicates potential protection needs; high transaction activity,Cross-Sell,Introduce a complementary product and highlight financial protection and security,Priority 3,0.4453583575827485,True
C000082,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.3887672580296647,Low,financial capacity and transaction activity support borrowing needs,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 3,0.3887672580296647,True
C000083,Premium High-Value,Premium Cross-Sell Opportunity,Moderate Risk,High Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.636460171588108,Medium,spending and transaction patterns support a rewards credit card; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.636460171588108,True
C000084,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3622136161992335,Low,spending and transaction patterns support a rewards credit card,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.3622136161992335,True
C000085,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P004,Personal Loan,0.5039666657929518,Low,financial capacity and transaction activity support borrowing needs; positive response to previous recommendations,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 2,0.5039666657929518,True
C000086,Core Active,Core Relationship Customer,Moderate Risk,Low Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.3749859961966766,Low,financial capacity and transaction activity support borrowing needs,Engagement,Highlight flexible financing and convenience,Priority 3,0.3749859961966766,True
C000087,Premium High-Value,Premium Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P004,Personal Loan,0.6242470125429058,Medium,financial capacity and transaction activity support borrowing needs; strong segment fit,Cross-Sell,Introduce a complementary product and highlight flexible financing and convenience,Priority 3,0.6242470125429058,True
C000088,At Risk,At-Risk Declining Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 4,P007,Term Insurance,0.1705799019722226,Low,customer profile indicates potential protection needs,Retention,Strengthen the customer relationship while highlight financial protection and security,Priority 4,0.1705799019722226,True
C000089,At Risk,At-Risk Declining Customer,Critical Risk,Low Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.3484949333970936,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Retention,"Strengthen the customer relationship while highlight rewards, benefits and spending value",Priority 3,0.3484949333970936,True
C000090,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.8661597343837367,High,customer profile supports premium banking services; strong account balance; high spending activity,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.8661597343837367,True
C000091,Premium High-Value,Premium Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2,P003,Rewards Credit Card,0.7487590832627996,Medium,spending and transaction patterns support a rewards credit card; high transaction activity; strong segment fit,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 2,0.7487590832627996,True
C000092,Core Active,Core Relationship Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4914967266636498,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.4914967266636498,True
C000093,Premium High-Value,Premium Digital Customer,Moderate Risk,Moderate Cross-Sell Opportunity,Priority 2,P008,Premium Banking,0.742042447943227,Medium,customer profile supports premium banking services; high transaction activity; strong segment fit,Cross-Sell,Introduce a complementary product and highlight premium services and exclusive benefits,Priority 2,0.742042447943227,True
C000094,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.4861422295581274,Low,spending and transaction patterns support a rewards credit card; high transaction activity,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.4861422295581274,True
C000095,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3,P003,Rewards Credit Card,0.481934356617052,Low,spending and transaction patterns support a rewards credit card; positive response to previous recommendations,Cross-Sell,"Introduce a complementary product and highlight rewards, benefits and spending value",Priority 3,0.481934356617052,True
